Team,Stadium,Latitude,Longitude
ATHLETIC,San Mamés ,43.264284,-2.950366
ATLETICO MADRID,Vicente Calderón ,40.401719,-3.720606
BARCELONA,Camp Nou ,41.38087,2.122802
REAL BETIS,Benito Villamarín ,37.356389,-5.981389
CELTA,Balaídos ,42.211842,-8.739711
ELCHE,Martínez Valero ,38.266944,-0.663333
ESPANYOL,Cornellà-El Prat ,41.347861,2.075667
GETAFE,Coliseum Alfonso Pérez ,40.325556,-3.714722
GRANADA,Nuevo Los Cármenes ,37.152967,-3.595736
LEVANTE,Ciutat de València ,39.494722,-0.364167
MÁLAGA,La Rosaleda ,36.734092,-4.426422
OSASUNA,El Sadar ,42.796667,-1.636944
RAYO VALLECANO,Campo de Vallecas ,40.391944,-3.658961
REAL MADRID,Santiago Bernabéu ,40.45306,-3.68835
REAL SOCIEDAD,Anoeta ,43.301378,-1.973617
SEVILLA FC,Ramón Sánchez Pizjuán ,37.384,-5.9705
VALENCIA,Mestalla ,39.474656,-0.358361
VALLADOLID,Nuevo José Zorrilla ,41.644444,-4.761111
VILLARREAL,El Madrigal ,39.944167,-0.103611
DEPORTIVO,Riazor ,43.368714,-8.417516
