...1,player_id,tournament_id,season_id,totalRating,countRating,goals,assists,goalsAssistsSum,yellowCards,directRedCards,redCards,minutesPlayed,matchesStarted,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,id,type,appearances,rating,bigChancesCreated,bigChancesMissed,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,tacklesWon,tacklesWonPercentage,totwAppearances,shotsFromInsideTheBox,shotsFromOutsideTheBox,team>name,team>nameCode,team>ranking,team>id
29,7,8,6559,0,0,0,5,5,5,0,0,1178,15,NA,0,6,12,347888,overall,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sevilla,SEV,NA,2833
30,7,8,11906,139.4,21,3,4,7,1,NA,0,864,10,288,0,NA,NA,105726,overall,21,6.6380952380952,1,0,252,105,357,70.58823529411801,77,191,115,18,13,38.235294117647,11,6,16,32,11,5,6,53,37.857142857143,6,33.333333333333,59,37.341772151899,27.272727272727,1,1,0,0,3,0,3,0,0,2,1,34,61.818181818182,1,0,0,31,29,13,2,0,24,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,100,0,18,34,50,99,12,0,0,0,55,10,0,0,100,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Espanyol,ESP,NA,2814
36,7,8,10495,159.9,24,1,1,2,6,NA,0,1186,14,1186,0,NA,NA,100048,overall,24,6.6625,4,1,344,176,520,66.15384615384599,66,298,203,33,19,46.341463414634,18,13,20,26.666666666667,13,9,4,76,43.678160919540005,17,43.589743589744,93,43.661971830986005,7.6923076923077,0,0,0,1,2,0,1,0,0,0,1,22,50,5,0,0,33,39,22,0,0,22,4,3,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,32,41,75,120,22,0,0,0,44,16,0,0,88,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sevilla,SEV,NA,2833
38,7,8,8578,0,0,3,4,7,5,0,0,1228,15,409.33333333333,0,4,9,375034,overall,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sevilla,SEV,NA,2833
468,293,8,6559,0,0,0,1,1,2,0,0,844,9,NA,0,9,6,347903,overall,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sevilla,SEV,NA,2833
492,301,8,11906,81.5,12,0,0,0,3,NA,0,773,8,NA,0,NA,NA,99590,overall,12,6.7916666666667,0,0,266,68,334,79.640718562874,163,104,26,1,5,83.333333333333,9,17,1,100,3,1,2,18,54.545454545455,35,59.322033898304994,53,57.608695652174,0,0,0,0,0,0,0,0,0,0,0,0,21,43.75,69,1,0,1,7,6,1,0,10,0,6,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,1,6,1,39,24,0,0,0,48,13,0,0,186,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Málaga,MAL,NA,2830
590,335,8,10495,106.8,16,2,1,3,0,NA,0,418,3,209,0,NA,NA,122579,overall,17,6.675,2,1,131,46,177,74.011299435028,33,98,61,7,0,0,4,2,0,0,4,2,2,12,40,20,45.454545454545,32,43.243243243243,50,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,8,8,3,0,0,1,6,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,7,6,1,42,24,0,0,0,2,4,0,0,35,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Málaga,MAL,NA,2830
596,335,8,6559,0,0,6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,306202,overall,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Málaga,MAL,NA,2830
597,335,8,8578,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,318095,overall,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Málaga,MAL,NA,2830
974,518,8,6559,0,0,8,13,21,4,0,0,2470,28,308.75,0,8,15,306078,overall,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barcelona,BAR,NA,2817
